BALANCE,FEE,SMS_COUNT,FLOW_DATA,CALL_DURATION,DEVELOP_TYPE,LAST_DEPOSIT_FEE,age,deposit_interval_day,class
85.59,99.2,0,16704.91,0,1,20,26,4,0
522.56,0,0,2242,0,1,500,32,521,0
24.87,59,6,16446.75,218,1,10,19,2,0
48.55,69.5,0,24622.18,100,1,50,24,8,0
65.04,44.3,0,10903.51,2,1,100,25,32,0
69.35,22.3,0,15779.09,26,1,5,22,65,0
90.95,40.6,0,2440.16,10,1,50,25,6,0
15.15,30.9,11,318.22,102,1,30,27,23,0
1182.23,29.9,8,4687.56,92,1,30,34,163,0
124.24,26,0,2351.39,0,1,100,21,6,0
18.92,56.6,2,22561.72,75,1,100,23,44,0
28.66,93.2,29,2065.98,407,1,20,20,4,0
25.66,40,0,6326.44,0,1,100,18,80,0
0,0,0,0,0,2,30,19,205,1
42.52,57.4,2,9509.59,105,1,30,35,5,0
58.7,107.3,11,104660.13,19,1,50,16,20,0
30,32.7,1,8977.9,150,1,10,21,5,0
0,0,0,0,0,2,20,17,195,1
56.3,50.2,1,35576.79,18,1,30,22,1,0
67.51,19.9,1,3350.81,8,1,100,28,59,0
66.8,44.6,0,6979.27,86,1,30,20,0,0
137.69,58.3,0,24702.87,43,1,50,17,73,0
291.39,28,1,10459.18,90,1,300,32,87,0
0,42,1,14699.42,401,1,30,41,33,0
20.9,49,0,21596.16,4,1,20,29,4,0
25.64,55.5,0,23092.87,44,1,30,20,8,0
23.19,94.7,4,61412.3,122,1,30,18,13,0
0,0,0,0,0,1,100,21,518,1
5531.8,128.6,0,92644.42,456,1,50,30,13,0
0,0,0,0,0,1,5,23,167,1
0,0,0,0,0,1,20,26,189,1
0,0,0,0,0,2,100,20,523,1
30.84,50.5,12,32537.29,142,1,20,17,3,0
36.8,26.8,13,5298.78,75,1,19,27,1,0
0,0,0,0,0,1,100,20,481,1
30.64,38.3,1,9014.29,47,1,40,27,171,0
38.94,30.9,0,7368.89,6,1,100,19,97,0
48.59,19.7,0,19.36,1,1,50,27,8,0
29,19.3,0,0,6,1,30,23,7,0
149.49,54.3,0,24425.55,1,1,50,25,10,0
56.8,63.1,10,28053.66,319,1,50,20,3,0
0,0,0,0,0,2,9,19,209,1
18.84,22.5,0,683.54,2,1,10,21,10,0
0,0,0,0,0,1,100,36,496,1
0,0,0,0,0,1,10,24,215,1
40.71,43.1,2,41905.35,10,1,30,20,0,0
0,0,0,0,0,2,20,21,209,1
61.5,44.8,1,3650.2,9,1,100,29,33,0
87.34,42,3,12003.95,2,1,300,24,168,0
0,0,0,0,0,2,10,24,221,1
64.78,43.1,8,7187.7,93,1,100,18,20,0
26.94,26.1,0,5874.9,1,1,50,31,37,0
38.64,67.8,0,58196.72,43,1,100,21,46,0
0,0,0,0,0,1,100,23,521,1
16.15,26.3,0,5329.21,0,1,50,26,15,0
39.04,35.5,0,3364.37,54,1,50,26,18,0
89.64,43.9,1,21670.91,105,1,100,21,19,0
0,0,0,0,0,1,100,23,514,1
37,45.6,3,4255.07,90,1,30,21,6,0
12.01,19,0,0,0,1,20,18,14,0
225.26,26.8,28,2284.28,269,1,100,27,38,0
72.18,32.6,1,2448.6,212,1,50,30,5,0
43.1,39.5,2,8627,46,1,30,28,8,0
83.91,31.3,0,16814.11,1,1,100,27,16,0
25.94,70.6,3,10237.28,374,1,50,25,23,0
75.54,42.2,0,34364.11,2,1,100,30,22,0
0,0,0,0,0,1,30,33,185,1
57.51,57.6,0,24289.54,117,1,50,20,9,0
51.11,52.2,11,30720.67,176,1,30,24,2,0
42.7,78.8,7,43346.25,32,1,30,21,0,0
57.93,53.8,6,22027.55,133,1,50,21,7,0
16.6,54.9,0,40966.76,25,1,30,20,14,0
0,0,0,0,0,2,20,24,232,1
12.27,34.8,0,14208.13,2,1,10,31,4,0
113.58,77.2,10,10277.24,10,1,100,29,9,0
0,0,0,0,0,1,50,18,189,1
6.22,36.7,0,38388.85,2,1,10,18,21,0
99.41,50.9,5,11941.67,10,1,50,24,6,0
38.1,51.2,0,38537.42,83,1,30,19,6,0
37.8,60.7,0,32744.28,14,1,10,18,0,0
0,0,0,0,0,2,20,24,74,1
28.11,46.1,0,21439.6,6,1,100,19,56,0
56.9,38.3,0,3161.97,25,1,50,21,4,0
0,0,0,0,0,1,100,23,389,1
0,0,0,0,0,2,20,27,189,1
0,0,0,0,0,1,30,20,185,1
45.4,23.6,0,1437.48,0,1,100,34,92,0
35.01,34.3,3,4989.35,32,1,100,22,28,0
44.8,52.8,0,39310.09,41,1,100,28,22,0
54.11,42,3,19138.4,448,1,100,24,58,0
0,0,0,0,0,1,10,21,125,1
0,0,0,0,0,2,50,20,493,1
0,0,0,0,0,1,20,19,194,1
81.74,29.5,0,437.84,5,1,50,38,184,0
0,0,0,0,0,2,100,22,518,1
18.61,57.2,0,12061.16,2,1,10,20,3,0
18.74,42.6,0,41001.28,8,1,30,22,14,0
29.44,69.4,17,16882.02,171,1,30,23,7,0
0,0,0,0,0,1,16.96,24,163,1
48.24,39,0,11205.17,0,1,30,38,8,0
1908.16,20.5,0,4585.81,32,1,10,20,99,0
50.1,74.4,0,53104.12,1,1,50,22,6,0
0,0,0,0,0,1,10,23,161,1
15.37,34.8,0,784.67,37,1,20,24,13,0
32.1,38.1,0,3560.72,17,1,30,21,23,0
20.47,38.5,1,646.7,21,1,30,21,27,0
143.49,34,0,2598.16,1,1,100,19,60,0
25.84,19.2,2,5.69,0,1,50,20,66,0
3.77,0,0,0,0,2,50,28,111,1
0,0,0,0,0,1,100,21,515,1
29.9,54.5,4,6102.79,189,1,30,28,9,0
0,0,0,0,0,2,100,41,493,1
42.34,47.3,0,13533.99,65,1,30,37,1,0
118.86,55,11,52652.78,149,1,100,23,9,0
24.17,65.7,3,8865.68,366,1,50,21,20,0
18.02,56.1,0,23731.76,1,1,10,22,5,0
0,0,0,0,0,2,100,27,211,1
67.07,90,0,47806.21,22,1,100,26,17,0
37.06,39.9,8,26322.21,6,1,20,25,26,0
0,0,0,0,0,2,10,31,222,1
166.04,19,0,7273.6,1,1,10,20,54,0
0,0,0,0,0,1,100,21,517,1
0,0,0,0,0,2,50,19,266,1
24.77,61.6,57,11010.88,176,1,30,22,9,0
645.35,12.4,1,5188.12,28,1,277.55,32,36,0
8.61,47.9,0,14195.85,34,1,12.5,20,10,0
44.17,51.9,1,12016,6,1,30,26,7,0
111.91,66.8,15,4853.13,294,1,100,23,1,0
0,0,0,0,0,2,100,32,261,1
29.6,39.8,0,16787.05,6,1,50,28,25,0
0,0,0,0,0,1,50,21,218,1
0.89,0,0,0,0,1,3,34,20,1
0,0,0,0,0,1,50,27,277,1
61.34,25,5,0,57,1,50,25,5,0
112.11,22.8,0,1843.15,0,1,100,24,10,0
0,0,0,0,0,1,20,29,176,1
38.8,59.5,0,22286.25,128,1,20,27,4,0
27.84,51.8,0,18327.82,39,1,10,19,2,0
10.31,8.83,0,0,0,1,25,41,53,1
0,0,0,0,0,2,50,26,213,1
0,0,0,0,0,2,1,19,206,1
0,0,0,0,0,1,20,19,215,1
0,0,0,0,0,1,10,22,199,1
17.21,50.6,4,9484.07,39,1,10,18,3,0
29.44,73.2,2,19554.87,321,1,50,25,16,0
246.47,33.5,6,10297.9,24,1,100,35,6,0
30.17,40.5,0,15249.92,18,1,30,35,6,0
51.17,33.2,5,12437.59,102,1,30,20,21,0
36.27,35.2,1,4312.76,24,1,30,24,3,0
91.97,48,1,12601.17,69,1,300,22,162,0
0,0,0,0,0,2,50,21,284,1
0,0,0,0,0,1,20,22,188,1
428.54,47.1,0,12563.63,144,1,540,25,108,0
75.14,20.2,0,26.23,6,1,50,34,6,0
111.54,59.8,49,7225.27,178,1,100,21,8,0
0,0,0,0,0,1,50,28,252,1
0,0,0,0,0,2,50,46,259,1
0,0,0,0,0,1,100,32,505,1
0,0,0,0,0,1,100,25,447,1
30.32,59.4,0,38318.61,77,1,30,19,9,0
36.7,49.8,0,14911.43,89,1,30,23,11,0
99.67,41.1,13,11181.55,77,1,50,25,42,0
0,0,0,0,0,1,5.13,32,184,1
57.61,50.3,0,9652.88,52,1,50,30,4,0
0,0,0,0,0,1,100,33,505,1
983.13,19.7,0,2422.64,7,1,50,23,75,0
0,0,0,0,0,1,10,18,188,1
0,0,0,0,0,1,30,33,211,1
0,0,0,0,0,2,100,27,504,1
0,0,0,0,0,2,30,35,239,1
0,0,0,0,0,2,100,24,512,1
0,0,0,0,0,2,30,22,242,1
29.5,34.8,2,1316.61,44,1,30,22,13,0
124.04,92,2,21183.16,36,1,100,20,0,0
37.77,45.1,2,11186.1,68,1,300,26,162,0
0,0,0,0,0,2,10,19,93,1
34.3,53.36,0,2894.7,10,1,50,23,17,0
0,0,0,0,0,1,20,26,189,1
0,0,0,0,0,1,50,46,186,1
0,0,0,0,0,2,100,26,511,1
472.01,58.3,0,13598.39,3,1,38,31,91,0
84.24,50.6,1,6981.59,87,1,100,22,12,0
71.87,65.9,1,36019.75,769,1,50,23,9,0
38.61,63.3,1,27102.21,52,1,30,21,3,0
0,0,0,0,0,1,30,23,191,1
0,0,0,0,0,1,100,29,494,1
33.34,43.6,0,6047.85,11,1,30,22,38,0
26.27,62.3,0,27236.01,129,1,50,20,23,0
0,0,0,0,0,1,30,24,226,1
0,0,0,0,0,2,20,26,223,1
0,0,0,0,0,1,20,42,157,1
21.71,57.9,0,22924.29,1,1,10,18,4,0
21.61,35,0,7359.55,0,1,30,28,7,0
0,0,0,0,0,1,20,26,165,1
0,0,0,0,0,2,30,27,228,1
0,0,0,0,0,2,50,23,251,1
91.87,66.1,0,46538.97,14,1,30,19,0,0
0,0,0,0,0,1,100,21,513,1
29.87,48.7,19,1045.54,208,1,30,22,4,0
35.41,43.8,1,40122.59,18,1,20,20,7,0
51.05,42.5,2,4994.72,204,1,50,25,14,0
0,0,0,0,0,1,30,34,226,1
24.14,48.3,2,4409.9,17,1,50,20,29,0
3.37,19,0,0,3,1,100,36,194,1
0,0,0,0,0,1,50,21,224,1
0,0,0,0,0,1,50,35,188,1
121.64,61.4,0,18545.78,164,1,100,22,0,0
49.15,43.6,0,5131.5,26,1,50,25,9,0
0,0,0,0,0,2,20,53,217,1
23.31,49.3,5,11854.59,252,1,20,20,7,0
45.34,47,0,27312.18,60,1,300,23,156,0
33.94,42.7,0,6257.15,0,1,30,25,10,0
0,0,0,0,0,2,100,35,303,1
42.41,45.16,8,1718.95,0,1,100,24,68,0
29.39,67.3,0,34325.16,12,1,10,19,3,0
40.07,32.8,2,8096.35,0,1,30,41,7,0
0,0,0,0,0,1,30,33,200,1
20.51,43.8,2,33102.85,3,1,20,22,9,0
0,0,0,0,0,1,20,22,158,1
5.91,42.4,0,15459.44,3,1,10,23,9,0
28.97,42.1,0,12493.98,0,1,20,22,7,0
19.37,48.2,0,2237.45,43,1,30,23,14,0
0,0,0,0,0,2,0.5,24,73,1
0,0,0,0,0,2,10,24,59,1
49.67,46,4,15397.61,53,1,300,21,101,0
0,0,0,0,0,1,20,19,194,1
68.07,57.2,2,38264.82,119,1,200,25,243,0
0,0,0,0,0,2,30,31,225,1
0,14.26,0,0,0,2,10,24,45,1
27.3,55.2,1,46848.53,63,1,10,19,-1,0
28.9,65.4,0,19159.96,2,1,30,24,13,0
0,0,0,0,0,2,30,29,269,1
23.37,48.1,10,32471.89,31,1,30,31,15,0
40.54,49.8,11,22284.5,52,1,30,19,-1,0
0,0,0,0,0,2,100,28,384,1
29.29,49.9,1,7312.35,103,1,1,21,23,0
80.67,60.9,10,15008.23,152,1,100,21,15,0
0,0,0,0,0,2,100,25,507,1
0,0,0,0,0,1,100,32,495,1
0,0,0,0,0,2,30,33,235,1
0,0,0,0,0,2,100,24,509,1
0,0,0,0,0,2,50,23,249,1
81.57,41.3,7,7509.05,151,1,100,30,60,0
78.83,88.04,28,3284.3,46,1,100,24,18,0
0,0,0,0,0,1,4,23,189,1
72.71,42,0,2083.22,93,1,100,27,17,0
35,54.5,3,11472.94,78,1,30,21,11,0
26.34,27.8,0,10372.48,1,1,30,39,14,0
0,0,0,0,0,2,20,42,222,1
38.7,52.5,1,5704.31,46,1,10,18,0,0
23.68,61.1,13,14497.84,32,1,100,21,47,0
51.57,62.9,0,7668.09,207,1,50,20,9,0
160.24,32.3,0,5495.71,5,1,300,23,157,0
0,0,0,0,0,2,20,51,242,1
0,0,0,0,0,1,100,19,240,1
0,0,0,0,0,2,50,21,284,1
0,0,0,0,0,2,30,22,252,1
0,0,0,0,0,1,100,41,486,1
28.6,32.4,0,4632.28,1,1,50,34,52,0
52.97,27.1,0,13787.15,1,1,100,23,96,0
79.11,19,0,0,0,1,100,28,84,0
20.67,47,0,21498.63,1,1,20,25,4,0
0,0,0,0,0,1,100,35,486,1
23.49,50.3,2,12317.84,59,1,50,23,23,0
0,0,0,0,0,2,50,45,342,1
0,0,0,0,0,1,100,24,317,1
44.29,56.1,1,33753.32,7,1,50,28,13,0
38.57,48,3,16120.57,50,1,30,18,9,0
35.8,71.3,12,4939.84,303,1,30,20,5,0
0,0,0,0,0,1,100,36,509,1
27.97,44.3,5,11628.37,283,1,100,29,66,0
23.76,62.8,2,34751.2,120,1,10,19,4,0
0,0,0,0,0,1,30,21,196,1
0,0,0,0,0,2,30,19,239,1
0,0,0,0,0,1,100,22,502,1
16.64,46.3,0,24664.09,20,1,20,22,8,0
0,0,0,0,1,2,50,21,216,1
30.48,75.8,2,32332.31,289,1,50,75,15,0
0,0,0,0,0,1,100,25,509,1
140.34,53.4,0,14719,62,1,300,27,94,0
0,0,0,0,0,1,20,20,167,1
0,0,0,0,0,1,10,19,182,1
46.97,96.1,0,17766.36,534,1,30,20,2,0
0,0,0,0,0,1,30,29,205,1
109.9,62.7,0,38170.59,18,1,100,22,12,0
37.27,84.9,42,59434.04,31,1,100,18,41,0
0,0,0,0,0,1,100,21,506,1
24.64,48.5,0,30136.27,17,1,30,21,12,0
21.8,38.2,0,1180.08,36,1,50,22,31,0
39.37,43.2,1,4799.56,33,1,30,19,6,0
0,0,0,0,0,1,30,26,212,1
0,0,0,0,0,2,30,20,227,1
39.24,47.7,1,26804.32,5,1,50,18,22,0
46.2,24.3,0,171.25,0,1,50,55,96,0
89.97,47.9,9,4640.14,287,1,50,23,10,0
64.5,44.4,0,24959.36,17,1,100,27,27,0
0,0,0,0,0,1,30,20,210,1
0,0,0,0,0,2,30,28,242,1
0,0,0,0,0,1,30,36,189,1
36.27,83.1,22,45062.64,13,1,30,22,5,0
25.04,25.4,0,14427.8,0,1,20,32,1,0
34.14,53,1,17642.5,19,1,30,29,4,0
14.8,46.9,16,16996.1,104,1,30,20,8,0
0,0,0,0,0,2,100,24,505,1
0,0,0,0,0,1,30,26,181,1
36.54,46.2,19,5453.81,34,1,50,21,13,0
0,0,0,0,0,1,50,30,223,1
0,0,0,0,0,2,100,49,507,1
65.4,56,3,7601.04,238,1,50,23,6,0
49.84,26.2,1,2276.41,33,1,50,46,10,0
0,0,0,0,0,2,20,34,227,1
43.7,119.9,4,90268.34,147,1,300,23,103,0
0,0,0,0,0,1,100,19,436,1
22.3,49.9,0,28600.23,24,1,20,23,11,0
61.51,49.5,0,9240.31,58,1,100,19,39,0
69.07,43.7,1,704.11,362,1,50,24,2,0
41.12,45.1,3,5397.8,37,1,50,23,16,0
28.34,58.6,3,29516.57,94,1,30,20,8,0
36.11,56.2,1,12934.77,80,1,100,26,9,0
4.07,19,0,0,0,1,100,35,159,0
0,0,0,0,0,1,100,35,239,1
67.44,54.3,0,14450.19,18,1,50,20,1,0
0,0,0,0,0,2,100,23,493,1
47.68,51,3,18825.12,152,1,100,24,41,0
116.5,49.2,3,4422.41,45,1,100,25,7,0
25.94,19.2,5,928.6,0,1,30,20,45,1
0,0,0,0,2,1,10,25,473,1
0,0,0,0,0,2,50,21,229,1
36.44,49.1,49,2794.23,30,1,30,22,7,0
0,0,0,0,0,2,30,24,258,1
27.37,48,176,4364.31,158,1,30,23,7,0
5.5,20.9,0,62.92,1,1,50,20,35,0
0,0,0,0,0,2,2,45,213,1
0,0,0,0,0,1,100,23,440,1
35.07,46.3,8,13151.1,2,1,30,22,10,0
65.04,64.7,14,19827.27,417,1,30,34,44,0
24.68,40,1,9831.2,0,1,30,51,5,0
25.97,86.8,0,69640.87,93,1,30,29,8,0
27.4,65.6,2,14000.65,505,1,50,46,14,0
27.37,43.5,0,1817.71,20,1,30,18,10,0
104.44,62.2,0,29207.29,15,1,100,19,29,0
0,0,0,0,0,1,100,26,504,1
0,0,0,0,0,2,50,29,256,1
43.97,49,1,5458.54,29,1,30,22,7,0
34.6,23.6,0,941.51,0,1,30,24,4,0
20.07,45.4,2,16798.76,172,1,20,19,14,0
90.94,20.2,0,295.48,0,1,100,33,502,0
75.4,56.8,0,4566.13,75,1,100,30,18,0
4.2,31.6,0,0,221,1,50,29,43,0
81.37,53.7,0,11360.49,5,1,100,28,20,0
0,0,0,0,0,2,50,38,225,1
62.47,45.6,2,8787.87,10,1,100,18,33,0
0,0,0,0,0,2,30,24,232,1
60.79,47.9,4,42163.13,83,1,50,26,6,0
35.47,49.7,3,7364.94,46,1,20,19,0,0
0,0,0,0,0,1,100,33,502,1
54.5,38.1,0,7106.49,20,1,50,26,4,0
0,0,0,0,0,2,20,20,227,1
11.24,31.3,0,3204.75,0,1,50,29,51,0
361.5,48.9,2,17716.18,54,1,60,28,172,0
20.36,0,0,0,0,1,50,41,28,0
0,0,0,0,0,1,30,48,203,1
0,0,0,0,0,1,50,35,204,1
37.54,20.9,2,327.7,29,1,50,30,35,0
0,0,0,0,0,2,50,21,250,1
57.4,40,0,24095.52,25,1,50,30,4,0
34.14,31,0,2666.41,4,1,30,42,6,0
0,0,0,0,0,2,5,23,216,1
48.42,11,0,806.22,19,1,50,25,9,0
263.4,41.2,0,35147.89,9,1,30,25,128,0
150.17,54.3,1,5302.73,173,1,30,33,0,0
0,0,0,0,0,1,100,29,503,1
79.17,50.8,1,31308.34,189,1,10,26,7,0
156.34,30.5,0,1693.71,0,1,300,47,170,0
47.27,73.4,4,14047.61,283,1,50,24,12,0
15.65,0,0,0,0,1,30,27,15,0
0,0,0,0,0,2,100,22,502,1
20.14,46.1,2,17365.02,9,1,10,19,3,0
0,0,0,0,0,2,10,18,210,1
0,0,0,0,0,2,20,21,215,1
48.74,69.9,3,23727.4,779,1,50,18,11,0
462.93,27.3,0,946.26,0,1,300,33,105,0
0,0,0,0,0,1,30,29,178,1
62.17,31,0,6532.55,10,1,30,35,1,0
470.77,44.8,0,5530.47,88,1,500,27,33,0
27.14,26.6,0,240.92,7,1,50,51,36,0
60.91,48.2,0,21141.22,107,1,50,30,7,0
55.97,37.3,0,1955.35,21,1,50,21,11,0
32.43,25.7,0,18.29,132,1,50,27,36,0
17.2,49.3,0,19736.16,2,1,10,20,9,0
11.47,41.3,1,13517.52,41,1,10,21,3,0
14.27,30.7,0,7040.03,0,1,50,36,58,0
24.17,43.2,1,6329.89,34,1,100,33,68,0
70.54,57.1,0,15440.48,338,1,10,23,6,0
22.41,45.4,0,19137.48,45,1,50,27,43,0
0,0,0,0,0,1,100,22,502,1
214.17,20.1,185,1709.88,16,1,300,36,161,0
0,0,0,0,0,2,100,31,502,1
69.37,35,1,1583.86,64,1,50,36,2,0
39.1,70.5,0,12145,252,1,50,29,11,0
12.27,34.1,2,876.38,57,1,30,28,11,0
31.2,48,5,37260.9,129,1,50,20,22,0
95.07,32.7,1,7046.12,17,1,50,20,36,0
30.28,21.7,0,27.67,35,1,20,24,5,0
27.4,57,6,21440.31,112,1,100,22,48,0
5.1,22.1,22,305.56,11,1,30,35,54,0
38.6,46.1,0,29979.12,0,1,30,25,38,0
83.1,35.2,1,1014.81,16,1,100,19,34,0
0,0,0,0,0,2,10,59,204,1
0,0,0,0,0,1,10,32,171,1
0,0,0,0,0,1,50,29,218,1
50.13,47.2,14,15822.88,36,1,30,30,1,0
0,0,0,0,0,1,20,27,209,1
98.74,41.1,0,45751.57,11,1,100,22,20,0
92.04,61.5,18,2620.78,256,1,100,21,12,0
37.54,48.2,6,22599.15,260,1,20,22,4,0
55.54,47.2,0,26000.03,4,1,30,23,-1,0
35.24,0,0,0,17,1,50,23,24,0
27.65,0,0,0,0,1,30,57,5,0
0,0,0,0,0,2,50,30,251,1
36.74,26.5,0,1423.88,30,1,20,20,11,0
50,34.6,0,5344.34,0,1,50,24,3,0
63.73,49.1,0,8825.15,0,1,100,30,28,0
43.54,94.6,14,24380.99,837,1,100,26,21,0
0,0,0,0,0,2,50,29,265,1
55.17,34,3,16339.09,26,1,20,39,50,0
34.17,49.9,22,40972.23,60,1,50,27,37,0
387.82,24.7,9,930.86,55,1,100,18,32,0
50.5,63.1,5,16821.81,117,1,30,19,0,0
45.3,41,0,19601.79,30,1,50,20,18,0
54.35,52.3,0,4549.77,26,1,100,46,35,0
110,36,1,254.87,1,1,50,20,0,0
